Mod:Item:MetaData, Localized Name
lotr:item.lotr:spawnEgg:136, Spawn Dol Guldur Orc
lotr:item.lotr:spawnEgg:137, Spawn Dol Guldur Orc Archer
lotr:item.lotr:spawnEgg:138, Spawn Dol Guldur Banner Bearer
lotr:item.lotr:spawnEgg:139, Spawn Dol Guldur Orc Chieftain
lotr:item.lotr:spawnEgg:140, Spawn Mirk-troll
lotr:item.lotr:spawnEgg:141, Spawn Gundabad Banner Bearer
lotr:item.lotr:spawnEgg:142, Spawn Exploding Termite
lotr:item.lotr:spawnEgg:143, Spawn Dik-dik
lotr:item.lotr:spawnEgg:144, Spawn Black Uruk
lotr:item.lotr:spawnEgg:145, Spawn Black Uruk Archer
lotr:item.lotr:spawnEgg:146, Spawn Half-troll
lotr:item.lotr:spawnEgg:147, Spawn Ithilien Ranger Captain
lotr:item.lotr:spawnEgg:148, Spawn Ithilien Banner Bearer
lotr:item.lotr:spawnEgg:149, Spawn Half-troll Warrior
lotr:item.lotr:spawnEgg:150, Spawn Half-troll Banner Bearer
lotr:item.lotr:spawnEgg:151, Spawn Half-troll Warlord
lotr:item.lotr:spawnEgg:152, Spawn Angmar Orc Trader
lotr:item.lotr:spawnEgg:153, Spawn Dol Guldur Orc Trader
lotr:item.lotr:spawnEgg:154, Spawn Half-troll Scavenger
lotr:item.lotr:spawnEgg:155, Spawn Galadhrim Smith
lotr:item.lotr:spawnEgg:156, Spawn High Elven Smith
lotr:item.lotr:spawnEgg:157, Spawn Wood-elven Smith
lotr:item.lotr:spawnEgg:158, Spawn Swan Knight
lotr:item.lotr:spawnEgg:159, Spawn Dol Amroth Captain
lotr:item.lotr:spawnEgg:160, Spawn Dol Amroth Banner Bearer
lotr:item.lotr:spawnEgg:161, Spawn Swan
lotr:item.lotr:spawnEgg:162, Spawn Moredain
lotr:item.lotr:spawnEgg:163, Spawn Moredain Warrior
lotr:item.lotr:spawnEgg:164, Spawn Moredain Banner Bearer
lotr:item.lotr:spawnEgg:165, Spawn Moredain Chieftain
lotr:item.lotr:spawnEgg:166, Spawn Moredain Huntsman
lotr:item.lotr:spawnEgg:167, Spawn Moredain Hutmaker
lotr:item.lotr:spawnEgg:168, Spawn Dunlending Berserker
lotr:item.lotr:spawnEgg:169, Spawn Rhudaur Hillman
lotr:item.lotr:spawnEgg:170, Spawn Rhudaur Hillman Warrior
lotr:item.lotr:spawnEgg:171, Spawn Rhudaur Hillman Chieftain
lotr:item.lotr:spawnEgg:172, Spawn Rhudaur Hillman Banner Bearer
lotr:item.lotr:spawnEgg:173, Spawn Rhudaur Hillman Axe-thrower
lotr:item.lotr:spawnEgg:174, Spawn Dunlending Axe-thrower
lotr:item.lotr:spawnEgg:175, Spawn Iron Hills Merchant
lotr:item.lotr:spawnEgg:177, Spawn Oddment Collector
lotr:item.lotr:spawnEgg:178, Spawn Tauredain
lotr:item.lotr:spawnEgg:179, Spawn Tauredain Warrior
lotr:item.lotr:spawnEgg:180, Spawn Tauredain Banner Bearer
lotr:item.lotr:spawnEgg:181, Spawn Tauredain Chieftain
lotr:item.lotr:spawnEgg:182, Spawn Tauredain Blowgunner
lotr:item.lotr:spawnEgg:183, Spawn Barrow-wight
lotr:item.lotr:spawnEgg:184, Spawn Tauredain Shaman
lotr:item.lotr:spawnEgg:185, Spawn Galadhrim Warden
lotr:item.lotr:spawnEgg:186, Spawn Tauredain Farmer
lotr:item.lotr:spawnEgg:187, Spawn Tauredain Farmhand
lotr:item.lotr:spawnEgg:188, Spawn Dwarven Smith
lotr:item.lotr:spawnEgg:189, Spawn Blue Mountains Smith
lotr:item.lotr:spawnEgg:190, Spawn Tauredain Pyramid Wraith
lotr:item.lotr:spawnEgg:191, Spawn Gundabad Uruk
lotr:item.lotr:spawnEgg:192, Spawn Gundabad Uruk Archer
lotr:item.lotr:spawnEgg:193, Spawn Isengard Snaga
lotr:item.lotr:spawnEgg:194, Spawn Isengard Snaga Archer
lotr:item.lotr:spawnEgg:195, Spawn Harad Bandit
lotr:item.lotr:spawnEgg:196, Spawn Deer
lotr:item.lotr:spawnEgg:800, Spawn Utumno Orc
lotr:item.lotr:spawnEgg:801, Spawn Utumno Orc Archer
lotr:item.lotr:spawnEgg:802, Spawn Utumno Warg
lotr:item.lotr:spawnEgg:803, Spawn Utumno Ice Warg
lotr:item.lotr:spawnEgg:804, Spawn Utumno Obsidian Warg
lotr:item.lotr:spawnEgg:805, Spawn Utumno Fire Warg
lotr:item.lotr:spawnEgg:806, Spawn Utumno Ice Spider
lotr:item.lotr:spawnEgg:807, Spawn Balrog
lotr:item.lotr:spawnEgg:808, Spawn Tormented Elf
lotr:item.lotr:spawnEgg:809, Spawn Utumno Troll
lotr:item.lotr:spawnEgg:1001, Spawn Gollum
lotr:item.lotr:spawnEgg:1002, Spawn Saruman
lotr:item.lotr:pipeweedLeaf, Pipeweed Leaf
lotr:item.lotr:pipeweedSeeds, Pipeweed Seeds
lotr:item.lotr:structureSpawner:1, Build Hobbit Hole
lotr:item.lotr:structureSpawner:2, Build Hobbit Tavern
lotr:item.lotr:structureSpawner:3, Build Hobbit Picnic Bench
lotr:item.lotr:structureSpawner:4, Build Hobbit Windmill
lotr:item.lotr:structureSpawner:5, Build Hobbit Farm
lotr:item.lotr:structureSpawner:20, Build Blue Mountains House
lotr:item.lotr:structureSpawner:21, Build Blue Mountains Stronghold
lotr:item.lotr:structureSpawner:22, Build Blue Mountains Smithy
lotr:item.lotr:structureSpawner:30, Build High Elven Turret
lotr:item.lotr:structureSpawner:31, Build Ruined High Elven Turret
lotr:item.lotr:structureSpawner:32, Build High Elven Hall
lotr:item.lotr:structureSpawner:33, Build Underwater Elven Ruin
lotr:item.lotr:structureSpawner:34, Build High Elven Smithy
lotr:item.lotr:structureSpawner:35, Build Ruined Eregion Smithy
lotr:item.lotr:structureSpawner:50, Build Ruined Dúnedain Tower
lotr:item.lotr:structureSpawner:51, Build Ruined House
lotr:item.lotr:structureSpawner:52, Build Ranger Tent
lotr:item.lotr:structureSpawner:53, Build Númenórean Ruin
lotr:item.lotr:structureSpawner:54, Build Barrow-downs Barrow
lotr:item.lotr:structureSpawner:55, Build Ranger Watchtower
lotr:item.lotr:structureSpawner:56, Build Burnt House
lotr:item.lotr:structureSpawner:57, Build Rotten House
lotr:item.lotr:structureSpawner:80, Build Orc Dungeon
lotr:item.lotr:structureSpawner:81, Build Gundabad Tent
lotr:item.lotr:structureSpawner:82, Build Gundabad Forge Tent
lotr:item.lotr:structureSpawner:100, Build Angmar Tower
lotr:item.lotr:structureSpawner:101, Build Angmar Shrine
lotr:item.lotr:structureSpawner:102, Build Angmar Warg Pit
lotr:item.lotr:structureSpawner:103, Build Angmar Tent
lotr:item.lotr:structureSpawner:104, Build Angmar Forge Tent
lotr:item.lotr:structureSpawner:110, Build Rhudaur Hillman House
lotr:item.lotr:structureSpawner:111, Build Rhudaur Hillman Chieftain House
lotr:item.lotr:structureSpawner:120, Build Wood-elf Lookout Platform
lotr:item.lotr:structureSpawner:121, Build Wood-elf House
lotr:item.lotr:structureSpawner:122, Build Wood-elven Tower
lotr:item.lotr:structureSpawner:123, Build Ruined Wood-elven Tower
lotr:item.lotr:structureSpawner:124, Build Wood-elven Smithy
lotr:item.lotr:structureSpawner:130, Build Dol Guldur Altar
lotr:item.lotr:structureSpawner:131, Build Dol Guldur Tower
lotr:item.lotr:structureSpawner:132, Build Dol Guldur Spider Pit
lotr:item.lotr:structureSpawner:133, Build Dol Guldur Tent
lotr:item.lotr:structureSpawner:134, Build Dol Guldur Forge Tent
lotr:item.lotr:structureSpawner:150, Build Dwarven Mine Entrance
lotr:item.lotr:structureSpawner:151, Build Dwarven Tower
lotr:item.lotr:structureSpawner:152, Build Dwarf House
lotr:item.lotr:structureSpawner:153, Build Ruined Dwarven Mine Entrance
lotr:item.lotr:structureSpawner:154, Build Dwarven Smithy
lotr:item.lotr:structureSpawner:155, Build Ruined Dwarven Tower
lotr:item.lotr:structureSpawner:200, Build Elven Treehouse
lotr:item.lotr:structureSpawner:201, Build Grand Elven Treehouse
lotr:item.lotr:structureSpawner:202, Build Galadhrim Smithy
lotr:item.lotr:structureSpawner:300, Build Rohan Mead Hall
lotr:item.lotr:structureSpawner:301, Build Rohan Watchtower
lotr:item.lotr:structureSpawner:302, Build Rohan Barrow
lotr:item.lotr:structureSpawner:303, Build Rohan Fortress
lotr:item.lotr:structureSpawner:350, Build Isengard Tent
lotr:item.lotr:structureSpawner:351, Build Ruined Rohan Watchtower
lotr:item.lotr:structureSpawner:352, Build Isengard Forge Tent
lotr:item.lotr:structureSpawner:353, Build Isengard Warg Pit
lotr:item.lotr:structureSpawner:380, Build Dunlending House
lotr:item.lotr:structureSpawner:381, Build Dunlending Tavern
lotr:item.lotr:structureSpawner:382, Build Dunlending Campfire
lotr:item.lotr:structureSpawner:383, Build Dunlending Hill Fort
lotr:item.lotr:structureSpawner:400, Build Gondor Beacon Tower
lotr:item.lotr:structureSpawner:401, Build Gondor Fortress
lotr:item.lotr:structureSpawner:402, Build Gondor Smithy
lotr:item.lotr:structureSpawner:403, Build Gondor Turret
lotr:item.lotr:structureSpawner:404, Build Ithilien Hideout
lotr:item.lotr:structureSpawner:420, Build Ruined Gondor Beacon Tower
lotr:item.lotr:structureSpawner:421, Build Ruined Gondor Watchtower
lotr:item.lotr:structureSpawner:422, Build Gondor Obelisk
lotr:item.lotr:structureSpawner:423, Build Gondor Ruin
lotr:item.lotr:structureSpawner:440, Build Dol Amroth Stables
lotr:item.lotr:structureSpawner:500, Build Mordor Tower
lotr:item.lotr:structureSpawner:501, Build Mordor Tent
lotr:item.lotr:structureSpawner:502, Build Mordor Forge Tent
lotr:item.lotr:structureSpawner:503, Build Mordor Warg Pit
lotr:item.lotr:structureSpawner:550, Build Núrn Wheat Farm
lotr:item.lotr:structureSpawner:551, Build Núrn Slaver Tower
lotr:item.lotr:structureSpawner:570, Build Mordor Spider Pit
lotr:item.lotr:structureSpawner:600, Build Harad Obelisk
lotr:item.lotr:structureSpawner:601, Build Near Harad House
lotr:item.lotr:structureSpawner:602, Build Near Harad Large House
lotr:item.lotr:structureSpawner:603, Build Near Harad Village
lotr:item.lotr:structureSpawner:604, Build Near Harad Tower
lotr:item.lotr:structureSpawner:605, Build Near Harad Fortress
lotr:item.lotr:structureSpawner:606, Build Near Harad Tent
lotr:item.lotr:structureSpawner:607, Build Near Harad Bazaar
lotr:item.lotr:structureSpawner:608, Build Harad Pyramid
lotr:item.lotr:structureSpawner:800, Build Moredain Village Hut
lotr:item.lotr:structureSpawner:801, Build Moredain Chieftain Hut
lotr:item.lotr:structureSpawner:802, Build Moredain Trader Hut
lotr:item.lotr:structureSpawner:803, Build Moredain Hunter Shack
lotr:item.lotr:structureSpawner:850, Build Tauredain Pyramid
lotr:item.lotr:structureSpawner:851, Build Tauredain House
lotr:item.lotr:structureSpawner:852, Build Tauredain Stilt House
lotr:item.lotr:structureSpawner:853, Build Tauredain Watchtower
lotr:item.lotr:structureSpawner:854, Build Tauredain Mansion
lotr:item.lotr:structureSpawner:855, Build Tauredain Chieftain Temple
lotr:item.lotr:structureSpawner:856, Build Tauredain Village Tree
lotr:item.lotr:structureSpawner:857, Build Tauredain Village Farm
lotr:item.lotr:structureSpawner:1200, Build Half-troll House
lotr:item.lotr:structureSpawner:1201, Build Half-troll Warlord House
lotr:item.lotr:lettuce, Lettuce
lotr:item.lotr:shovelMithril, Mithril Shovel
lotr:item.lotr:pickaxeMithril, Mithril Pickaxe
lotr:item.lotr:axeMithril, Mithril Axe
lotr:item.lotr:swordMithril, Mithril Sword
lotr:item.lotr:hoeMithril, Mithril Hoe
lotr:item.lotr:orcTorch, Orc Torch
lotr:item.lotr:sauronMace, Mace of Sauron
lotr:item.lotr:gandalfStaffWhite, Staff of Gandalf the White
lotr:item.lotr:swordGondor, Gondorian Sword
lotr:item.lotr:helmetGondor, Gondorian Helmet
lotr:item.lotr:bodyGondor, Gondorian Chestplate
lotr:item.lotr:legsGondor, Gondorian Leggings
lotr:item.lotr:bootsGondor, Gondorian Boots
lotr:item.lotr:helmetMithril, Mithril Helmet
lotr:item.lotr:bodyMithril, Mithril Chestplate
lotr:item.lotr:legsMithril, Mithril Leggings
lotr:item.lotr:bootsMithril, Mithril Boots
lotr:item.lotr:spearGondor, Gondorian Spear
lotr:item.lotr:spearOrc, Mordor Spear
lotr:item.lotr:spearBronze, Bronze Spear
lotr:item.lotr:spearIron, Iron Spear
lotr:item.lotr:spearMithril, Mithril Spear
lotr:item.lotr:anduril, Andúril
lotr:item.lotr:dye:0, Yellow Dye
lotr:item.lotr:dye:1, White Dye
lotr:item.lotr:dye:2, Bluebell Blue
lotr:item.lotr:dye:3, Clover Green
lotr:item.lotr:dye:4, Charcoal Dust
lotr:item.lotr:dye:5, Brown Dye
lotr:item.lotr:mallornStick, Mallorn Stick
lotr:item.lotr:shovelMallorn, Mallorn Shovel
lotr:item.lotr:pickaxeMallorn, Mallorn Pickaxe
lotr:item.lotr:axeMallorn, Mallorn Axe
lotr:item.lotr:swordMallorn, Mallorn Sword
lotr:item.lotr:hoeMallorn, Mallorn Hoe
lotr:item.lotr:shovelElven, Galadhrim Shovel
lotr:item.lotr:pickaxeElven, Galadhrim Pickaxe
lotr:item.lotr:axeElven, Galadhrim Axe
lotr:item.lotr:swordElven, Galadhrim Sword
lotr:item.lotr:hoeElven, Galadhrim Hoe
lotr:item.lotr:spearElven, Galadhrim Spear
lotr:item.lotr:mallornBow, Mallorn Bow
lotr:item.lotr:helmetElven, Galadhrim Helmet
lotr:item.lotr:bodyElven, Galadhrim Chestplate
lotr:item.lotr:legsElven, Galadhrim Leggings
lotr:item.lotr:bootsElven, Galadhrim Boots
lotr:item.lotr:coin:0, Silver Coin
lotr:item.lotr:coin:1, Silver Coin (10)
lotr:item.lotr:coin:2, Silver Coin (100)
lotr:item.lotr:gammon, Gammon
lotr:item.lotr:clayPlate, Clay Plate
lotr:item.lotr:plate, Plate
lotr:item.lotr:elvenBow, Galadhrim Bow
lotr:item.lotr:wargFur, Warg Fur
lotr:item.lotr:helmetWarg, Warg Fur Helmet
lotr:item.lotr:bodyWarg, Warg Fur Chestplate
lotr:item.lotr:legsWarg, Warg Fur Leggings
lotr:item.lotr:bootsWarg, Warg Fur Boots
lotr:item.lotr:orcBow, Orc Bow
lotr:item.lotr:mugMead:0, Mead
lotr:item.lotr:mugMead:1, Mead
lotr:item.lotr:mugMead:2, Mead
lotr:item.lotr:mugMead:3, Mead
lotr:item.lotr:mugMead:4, Mead
lotr:item.lotr:wargskinRug:0, Wargskin Rug
lotr:item.lotr:wargskinRug:1, Wargskin Rug
lotr:item.lotr:wargskinRug:2, Wargskin Rug
lotr:item.lotr:wargskinRug:3, Wargskin Rug
lotr:item.lotr:wargskinRug:4, Wargskin Rug
lotr:item.lotr:wargskinRug:5, Wargskin Rug
lotr:item.lotr:wargskinRug:6, Wargskin Rug
lotr:item.lotr:quenditeCrystal, Quendite Crystal
lotr:item.lotr:blacksmithHammer, Blacksmith Hammer
lotr:item.lotr:daggerGondor, Gondorian Dagger
lotr:item.lotr:daggerElven, Galadhrim Dagger
lotr:item.lotr:hobbitRing, Hobbit Marriage Ring
lotr:item.lotr:elvenBed, Galadhrim Bed
lotr:item.lotr:wargBone, Warg Bone
lotr:item.lotr:appleGreen, Apple
lotr:item.lotr:pear, Pear
lotr:item.lotr:cherry, Cherries
lotr:item.lotr:dwarfSteel, Dwarven Steel Ingot
lotr:item.lotr:shovelDwarven, Dwarven Shovel
lotr:item.lotr:pickaxeDwarven, Dwarven Pickaxe
lotr:item.lotr:axeDwarven, Dwarven Axe
lotr:item.lotr:swordDwarven, Dwarven Sword
lotr:item.lotr:hoeDwarven, Dwarven Hoe
lotr:item.lotr:daggerDwarven, Dwarven Dagger
lotr:item.lotr:battleaxeDwarven, Dwarven Battleaxe
lotr:item.lotr:hammerDwarven, Dwarven Warhammer
lotr:item.lotr:shovelOrc, Mordor Shovel
lotr:item.lotr:pickaxeOrc, Mordor Pickaxe
lotr:item.lotr:axeOrc, Mordor Axe
lotr:item.lotr:hoeOrc, Mordor Hoe
lotr:item.lotr:hammerOrc, Mordor Warhammer
lotr:item.lotr:helmetDwarven, Dwarven Helmet
lotr:item.lotr:bodyDwarven, Dwarven Chestplate
lotr:item.lotr:legsDwarven, Dwarven Leggings
lotr:item.lotr:bootsDwarven, Dwarven Boots
lotr:item.lotr:galvorn, Galvorn Ingot
lotr:item.lotr:helmetGalvorn, Galvorn Helmet
lotr:item.lotr:bodyGalvorn, Galvorn Chestplate
lotr:item.lotr:legsGalvorn, Galvorn Leggings
lotr:item.lotr:bootsGalvorn, Galvorn Boots
lotr:item.lotr:daggerBronze, Bronze Dagger
lotr:item.lotr:daggerIron, Iron Dagger
lotr:item.lotr:daggerMithril, Mithril Dagger
lotr:item.lotr:battleaxeMithril, Mithril Battleaxe
lotr:item.lotr:hammerMithril, Mithril Warhammer
lotr:item.lotr:hammerGondor, Gondorian Warhammer
lotr:item.lotr:orcBone, Orc Bone
lotr:item.lotr:elfBone, Elf Bone
lotr:item.lotr:dwarfBone, Dwarf Bone
lotr:item.lotr:hobbitBone, Hobbit Bone
lotr:item.lotr:commandHorn:0, Horn of Command
lotr:item.lotr:commandHorn:1, Horn of Command - Halt Units
lotr:item.lotr:commandHorn:2, Horn of Command - Ready Units
lotr:item.lotr:commandHorn:3, Horn of Command - Summon Units
lotr:item.lotr:throwingAxeDwarven, Dwarven Throwing Axe
lotr:item.lotr:urukSteel, Uruk Steel Ingot
lotr:item.lotr:shovelUruk, Uruk Shovel
lotr:item.lotr:pickaxeUruk, Uruk Pickaxe
lotr:item.lotr:axeUruk, Uruk Axe
lotr:item.lotr:scimitarUruk, Uruk Scimitar
lotr:item.lotr:hoeUruk, Uruk Hoe
lotr:item.lotr:daggerUruk, Uruk Dagger
lotr:item.lotr:daggerUrukPoisoned, Poisoned Uruk Dagger
lotr:item.lotr:battleaxeUruk, Uruk Battleaxe
lotr:item.lotr:hammerUruk, Uruk Warhammer
lotr:item.lotr:spearUruk, Uruk Spear
lotr:item.lotr:helmetUruk, Uruk Helmet
lotr:item.lotr:bodyUruk, Uruk Chestplate
lotr:item.lotr:legsUruk, Uruk Leggings
lotr:item.lotr:bootsUruk, Uruk Boots
lotr:item.lotr:crossbowBolt, Crossbow Bolt
lotr:item.lotr:urukCrossbow, Uruk Crossbow
lotr:item.lotr:cherryPie, Cherry Pie
lotr:item.lotr:trollBone, Troll Bone
lotr:item.lotr:trollStatue:0, Troll Statue #1
lotr:item.lotr:trollStatue:0, Troll Statue #1
lotr:item.lotr:trollStatue:1, Troll Statue #2
lotr:item.lotr:trollStatue:1, Troll Statue #2
lotr:item.lotr:trollStatue:2, Troll Statue #3
lotr:item.lotr:trollStatue:2, Troll Statue #3
lotr:item.lotr:ironCrossbow, Iron Crossbow
lotr:item.lotr:mithrilCrossbow, Mithril Crossbow
lotr:item.lotr:woodElvenBed, Wood-elven Bed
lotr:item.lotr:helmetWoodElvenScout, Wood-elven Scout Hood
lotr:item.lotr:bodyWoodElvenScout, Wood-elven Scout Tunic
lotr:item.lotr:legsWoodElvenScout, Wood-elven Scout Leggings
lotr:item.lotr:bootsWoodElvenScout, Wood-elven Scout Boots
lotr:item.lotr:mirkwoodBow, Bow of Mirkwood
lotr:item.lotr:mugRedWine:0, Red Wine
lotr:item.lotr:mugRedWine:1, Red Wine
lotr:item.lotr:mugRedWine:2, Red Wine
lotr:item.lotr:mugRedWine:3, Red Wine
lotr:item.lotr:mugRedWine:4, Red Wine
lotr:item.lotr:ancientParts:0, Ancient Sword Tip
lotr:item.lotr:ancientParts:1, Ancient Sword Blade
lotr:item.lotr:ancientParts:2, Ancient Sword Hilt
lotr:item.lotr:ancientParts:3, Ancient Armor Plate
lotr:item.lotr:ancient:0, Ancient Sword
lotr:item.lotr:ancient:1, Ancient Dagger
lotr:item.lotr:ancient:2, Ancient Helmet
lotr:item.lotr:ancient:3, Ancient Chestplate
lotr:item.lotr:ancient:4, Ancient Leggings
lotr:item.lotr:ancient:5, Ancient Boots
lotr:item.lotr:swordRohan, Rohirric Sword
lotr:item.lotr:daggerRohan, Rohirric Dagger
lotr:item.lotr:spearRohan, Rohirric Spear
lotr:item.lotr:helmetRohan, Rohirric Coif
lotr:item.lotr:bodyRohan, Rohirric Hauberk
lotr:item.lotr:legsRohan, Rohirric Leggings
lotr:item.lotr:bootsRohan, Rohirric Boots
lotr:item.lotr:helmetGondorWinged, Winged Gondorian Helmet
lotr:item.lotr:guldurilCrystal, Gulduril Crystal
lotr:item.lotr:dwarvenDoor, Dwarven Door
lotr:item.lotr:mallornNut, Mallorn Nut
lotr:item.lotr:dwarvenBed, Dwarven Bed
lotr:item.lotr:mugCider:0, Cider
lotr:item.lotr:mugCider:1, Cider
lotr:item.lotr:mugCider:2, Cider
lotr:item.lotr:mugCider:3, Cider
lotr:item.lotr:mugCider:4, Cider
lotr:item.lotr:mugPerry:0, Perry
lotr:item.lotr:mugPerry:1, Perry
lotr:item.lotr:mugPerry:2, Perry
lotr:item.lotr:mugPerry:3, Perry
lotr:item.lotr:mugPerry:4, Perry
lotr:item.lotr:mugCherryLiqueur:0, Cherry Liqueur
lotr:item.lotr:mugCherryLiqueur:1, Cherry Liqueur
lotr:item.lotr:mugCherryLiqueur:2, Cherry Liqueur
lotr:item.lotr:mugCherryLiqueur:3, Cherry Liqueur
lotr:item.lotr:mugCherryLiqueur:4, Cherry Liqueur
lotr:item.lotr:mugRum:0, Rum
lotr:item.lotr:mugRum:1, Rum
lotr:item.lotr:mugRum:2, Rum
lotr:item.lotr:mugRum:3, Rum
lotr:item.lotr:mugRum:4, Rum
lotr:item.lotr:mugAthelasBrew:0, Athelas Brew
lotr:item.lotr:mugAthelasBrew:1, Athelas Brew
lotr:item.lotr:mugAthelasBrew:2, Athelas Brew
lotr:item.lotr:mugAthelasBrew:3, Athelas Brew
lotr:item.lotr:mugAthelasBrew:4, Athelas Brew
lotr:item.lotr:armorStand, Armor Stand
lotr:item.lotr:pebble, Pebble
lotr:item.lotr:sling, Sling
lotr:item.lotr:mysteryWeb, Mystery Web
lotr:item.lotr:mugDwarvenTonic:0, Dwarven Tonic
lotr:item.lotr:mugDwarvenTonic:1, Dwarven Tonic
lotr:item.lotr:mugDwarvenTonic:2, Dwarven Tonic
lotr:item.lotr:mugDwarvenTonic:3, Dwarven Tonic
lotr:item.lotr:mugDwarvenTonic:4, Dwarven Tonic
lotr:item.lotr:helmetRanger, Ranger's Hood
lotr:item.lotr:bodyRanger, Ranger's Tunic
lotr:item.lotr:legsRanger, Ranger's Leggings
lotr:item.lotr:bootsRanger, Ranger's Boots
lotr:item.lotr:helmetDunlending, Dunlending Helmet
lotr:item.lotr:bodyDunlending, Dunlending Chestplate
lotr:item.lotr:legsDunlending, Dunlending Leggings
lotr:item.lotr:bootsDunlending, Dunlending Boots
lotr:item.lotr:dunlendingClub, Dunlending Club
lotr:item.lotr:dunlendingTrident, Dunlending Trident
lotr:item.lotr:entDraught:0, Green Ent-draught
lotr:item.lotr:entDraught:1, Brown Ent-draught
lotr:item.lotr:entDraught:2, Golden Ent-draught
lotr:item.lotr:entDraught:3, Yellow Ent-draught
lotr:item.lotr:entDraught:4, Red Ent-draught
lotr:item.lotr:entDraught:5, Silver Ent-draught
lotr:item.lotr:entDraught:6, Blue Ent-draught
lotr:item.lotr:mugDwarvenAle:0, Dwarven Ale
lotr:item.lotr:mugDwarvenAle:1, Dwarven Ale
lotr:item.lotr:mugDwarvenAle:2, Dwarven Ale
lotr:item.lotr:mugDwarvenAle:3, Dwarven Ale
lotr:item.lotr:mugDwarvenAle:4, Dwarven Ale
lotr:item.lotr:maggotyBread, Maggoty Bread
lotr:item.lotr:morgulSteel, Morgul Steel Ingot
lotr:item.lotr:morgulBlade, Morgul Blade
lotr:item.lotr:helmetMorgul, Morgul Helmet
lotr:item.lotr:bodyMorgul, Morgul Chestplate
lotr:item.lotr:legsMorgul, Morgul Leggings
lotr:item.lotr:bootsMorgul, Morgul Boots
lotr:item.lotr:leatherHat, Leather Hat
lotr:item.lotr:featherDyed, Dyed Feather
lotr:item.lotr:mattockDwarven, Dwarven Mattock
lotr:item.lotr:orcBed, Orc Bed
lotr:item.lotr:shovelWoodElven, Wood-elven Shovel
lotr:item.lotr:pickaxeWoodElven, Wood-elven Pickaxe
lotr:item.lotr:axeWoodElven, Wood-elven Axe
lotr:item.lotr:swordWoodElven, Wood-elven Sword
lotr:item.lotr:hoeWoodElven, Wood-elven Hoe
lotr:item.lotr:daggerWoodElven, Wood-elven Dagger
lotr:item.lotr:spearWoodElven, Wood-elven Spear
lotr:item.lotr:helmetWoodElven, Wood-elven Helmet
lotr:item.lotr:bodyWoodElven, Wood-elven Chestplate
lotr:item.lotr:legsWoodElven, Wood-elven Leggings
lotr:item.lotr:bootsWoodElven, Wood-elven Boots
lotr:item.lotr:rabbitRaw, Raw Rabbit
lotr:item.lotr:rabbitCooked, Cooked Rabbit
lotr:item.lotr:rabbitStew, Rabbit Stew
lotr:item.lotr:mugVodka:0, Vodka
lotr:item.lotr:mugVodka:1, Vodka
lotr:item.lotr:mugVodka:2, Vodka
lotr:item.lotr:mugVodka:3, Vodka
lotr:item.lotr:mugVodka:4, Vodka
lotr:item.lotr:sulfur, Sulfur
lotr:item.lotr:saltpeter, Saltpeter
lotr:item.lotr:commandSword, Sword of Command
lotr:item.lotr:hobbitPancake, Hobbit Pancake
lotr:item.lotr:bottlePoison, Bottle of Poison
lotr:item.lotr:daggerBronzePoisoned, Poisoned Bronze Dagger
lotr:item.lotr:daggerIronPoisoned, Poisoned Iron Dagger
lotr:item.lotr:daggerMithrilPoisoned, Poisoned Mithril Dagger
lotr:item.lotr:daggerGondorPoisoned, Poisoned Gondorian Dagger
lotr:item.lotr:daggerElvenPoisoned, Poisoned Galadhrim Dagger
lotr:item.lotr:daggerDwarvenPoisoned, Poisoned Dwarven Dagger
lotr:item.lotr:daggerRohanPoisoned, Poisoned Rohirric Dagger
lotr:item.lotr:daggerWoodElvenPoisoned, Poisoned Wood-elven Dagger
lotr:item.lotr:banner:0, Banner of Gondor
lotr:item.lotr:banner:1, Banner of Rohan
lotr:item.lotr:banner:2, Banner of Mordor
lotr:item.lotr:banner:3, Banner of Lothlórien
lotr:item.lotr:banner:4, Banner of the Woodland Realm
lotr:item.lotr:banner:5, Banner of Dunland
lotr:item.lotr:banner:6, Banner of Isengard
lotr:item.lotr:banner:7, Banner of Durin's Folk
lotr:item.lotr:banner:8, Banner of Angmar
lotr:item.lotr:banner:9, Banner of Near Harad
lotr:item.lotr:banner:10, Banner of the High Elves
lotr:item.lotr:banner:11, Banner of the Blue Mountains
lotr:item.lotr:banner:12, Banner of the Rangers
lotr:item.lotr:banner:13, Banner of Dol Guldur
lotr:item.lotr:banner:14, Banner of Gundabad
lotr:item.lotr:banner:15, Banner of the Half-trolls
lotr:item.lotr:banner:16, Banner of Dol Amroth
lotr:item.lotr:banner:17, Banner of the Moredain
lotr:item.lotr:banner:18, Banner of the Tauredain
lotr:item.lotr:sulfurMatch, Sulfur Match
lotr:item.lotr:swordAngmar, Angmar Sword
lotr:item.lotr:daggerAngmar, Angmar Dagger
lotr:item.lotr:daggerAngmarPoisoned, Poisoned Angmar Dagger
lotr:item.lotr:battleaxeAngmar, Angmar Battleaxe
lotr:item.lotr:hammerAngmar, Angmar Warhammer
lotr:item.lotr:spearAngmar, Angmar Spear
lotr:item.lotr:shovelAngmar, Angmar Shovel
lotr:item.lotr:pickaxeAngmar, Angmar Pickaxe
lotr:item.lotr:axeAngmar, Angmar Axe
lotr:item.lotr:hoeAngmar, Angmar Hoe
